	REFS=3		REFS=2		REFS=1		CUDepth=3		CUDepth=2		CUDepth=1		AMP=0		FME=2		FME=1		FME=0		HAD=0		SR=32		SR=8		SR=0		TUDepth=2		TUDepth=1		TestRect=0		RDOQ=0		BIPRED=2		BIPRED=0		LOWER_BOUND
Sequence	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings	BD-BR Y	Time Savings
BQSquare 	0.06694	0.152 	0.21751	0.277 	0.67059	0.387 	0.07480	0.245 	0.34807	0.565 	1.00283	0.778 	0.00821	0.166 	0.52127	0.156 	0.15970	0.231 	0.45279	0.363 	0.02038	0.106 	-0.00272	0.047 	-0.00170	0.052 	-0.00047	0.080 	0.00577	0.123 	0.01969	0.218 	0.02785	0.415 	0.01777	0.131 	-0.00093	0.087 	0.00166	0.103 	8.70962	0.946 
BlowingBubbles 	0.01531	0.141 	0.03931	0.274 	0.10152	0.404 	0.05322	0.245 	0.24379	0.572 	0.67126	0.781 	0.01109	0.157 	0.16221	0.168 	0.04292	0.215 	0.15212	0.351 	0.01936	0.073 	-0.00101	0.029 	0.00101	0.050 	0.01225	0.081 	0.00387	0.101 	0.01393	0.177 	0.02428	0.357 	0.04242	0.083 	0.00034	0.035 	0.00267	0.056 	3.32774	0.949 
Traffic 	0.02058	0.158 	0.04884	0.315 	0.12294	0.468 	0.03226	0.220 	0.15537	0.521 	0.47751	0.747 	0.01356	-0.025 	0.20380	0.215 	0.04242	0.276 	0.18855	0.458 	0.01635	0.096 	0.00023	0.012 	0.00174	0.020 	0.03753	0.058 	0.00129	0.079 	0.00573	0.139 	0.01559	0.487 	0.01758	0.058 	0.00047	0.049 	0.00211	0.070 	4.91789	0.959 
PeopleOnStreet 	0.00856	0.159 	0.01698	0.312 	0.02908	0.453 	0.05153	0.248 	0.24542	0.582 	0.64411	0.782 	0.00919	0.161 	0.08175	0.190 	0.01812	0.223 	0.08706	0.386 	0.01248	0.081 	0.00037	0.055 	0.00285	0.093 	0.04610	0.120 	0.00244	0.094 	0.00823	0.162 	0.01971	0.369 	0.02999	0.064 	0.00070	0.040 	0.00399	0.056 	1.73228	0.956 
BasketballDrive 	0.00567	0.168 	0.01631	0.324 	0.05416	0.468 	0.01567	0.231 	0.08840	0.563 	0.25197	0.773 	0.00618	0.114 	0.06783	0.200 	0.01676	0.227 	0.07304	0.392 	0.00950	0.083 	0.00137	0.073 	0.00475	0.111 	0.04656	0.140 	0.00029	0.089 	0.00736	0.150 	0.01014	0.446 	0.06795	0.068 	0.00155	0.042 	0.00644	0.058 	2.33674	0.953 
ParkScene 	0.00884	0.157 	0.02862	0.308 	0.07910	0.453 	0.02723	0.230 	0.12923	0.569 	0.36991	0.776 	0.00925	0.112 	0.12921	0.204 	0.02573	0.253 	0.12353	0.423 	0.01359	0.091 	0.00126	0.022 	0.00242	0.037 	0.01896	0.071 	0.00422	0.085 	0.01289	0.145 	0.01388	0.463 	0.02905	0.040 	0.00014	0.030 	0.00273	0.043 	4.77454	0.953 
RaceHorsesC 	0.01742	0.156 	0.04707	0.307 	0.10371	0.437 	0.06192	0.254 	0.24691	0.596 	0.63446	0.780 	0.00989	0.187 	0.16571	0.207 	0.03394	0.232 	0.16599	0.378 	0.01633	0.104 	0.00031	0.103 	0.00430	0.142 	0.05882	0.161 	0.00377	0.138 	0.01308	0.208 	0.02263	0.362 	0.03407	0.117 	-0.00012	0.072 	0.00452	0.084 	2.59385	0.952 
BQMall 	0.02184	0.151 	0.03626	0.300 	0.06871	0.441 	0.08804	0.228 	0.34026	0.560 	0.87682	0.770 	0.01285	0.128 	0.17720	0.169 	0.04670	0.228 	0.15715	0.387 	0.01533	0.087 	0.00268	0.032 	0.00229	0.054 	0.02804	0.087 	0.00388	0.098 	0.01337	0.164 	0.02994	0.417 	0.03699	0.076 	0.00436	0.043 	0.00795	0.060 	3.31978	0.951 
ChinaSpeed 	0.01206	0.153 	0.02963	0.306 	0.08393	0.435 	0.14042	0.187 	0.63763	0.532 	1.45059	0.752 	0.01098	0.074 	-0.00343	0.155 	-0.00416	0.210 	-0.00323	0.365 	-0.01363	0.047 	0.00248	-0.009 	0.01489	0.034 	0.12290	0.043 	0.00979	0.092 	0.05073	0.160 	0.04457	0.399 	0.03124	0.053 	0.00163	0.024 	0.00530	0.038 	2.51434	0.949 
BasketballDrillText 	0.02757	0.150 	0.05500	0.302 	0.08477	0.460 	0.06398	0.257 	0.22569	0.576 	0.56335	0.778 	0.00816	0.159 	0.13664	0.223 	0.03980	0.267 	0.12844	0.425 	0.02122	0.123 	0.00020	0.077 	0.00788	0.102 	0.05782	0.130 	0.00024	0.129 	0.00699	0.196 	0.01508	0.438 	0.02166	0.117 	0.00077	0.080 	0.00769	0.096 	2.00446	0.957 
Johnny 	0.00812	0.171 	0.02139	0.344 	0.07027	0.490 	0.03844	0.178 	0.14241	0.524 	0.44228	0.749 	0.01091	-0.046 	0.10121	0.153 	0.02554	0.250 	0.09100	0.469 	0.01259	0.048 	0.00054	-0.058 	-0.00012	-0.038 	0.00746	0.059 	-0.00042	0.074 	0.00285	0.125 	0.01780	0.556 	0.02094	0.049 	0.00445	0.059 	0.00493	0.083 	5.03229	0.971 
FourPeople 	0.01261	0.172 	0.01863	0.344 	0.03489	0.517 	0.03238	0.214 	0.14914	0.553 	0.41911	0.768 	0.01020	0.048 	0.08074	0.214 	0.01945	0.300 	0.07509	0.505 	0.01655	0.119 	-0.00018	0.009 	0.00416	0.015 	0.01739	0.053 	0.00080	0.074 	0.00249	0.089 	0.01372	0.506 	0.02978	0.032 	0.00019	0.058 	0.00448	0.080 	2.08500	0.974 
