		Reference					TestRectPeriod=0.2					TestRectPeriod=0.4					TestRectPeriod=0.6					TestRectPeriod=0.8
Sequence	QP	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time
BQSquare	22	1730.55	38.6662	42.9101	43.4966	178.904	1730.55	38.6662	42.9101	43.4966	172.922	1730.55	38.6662	42.9101	43.4966	173.226	1730.55	38.6662	42.9101	43.4966	170.917	1730.55	38.6662	42.9101	43.4966	170.762	
BQSquare	27	674.475	34.5568	40.7901	41.3597	140.253	674.475	34.5568	40.7901	41.3597	134.296	674.475	34.5568	40.7901	41.3597	133.391	674.475	34.5568	40.7901	41.3597	132.363	674.475	34.5568	40.7901	41.3597	132.261	
BQSquare	32	302.085	31.1963	39.2241	39.6884	118.734	302.085	31.1963	39.2241	39.6884	112.867	302.085	31.1963	39.2241	39.6884	111.83	302.085	31.1963	39.2241	39.6884	111.259	302.085	31.1963	39.2241	39.6884	112.981	
BQSquare	37	139.605	28.0278	38.2769	38.754	104.134	139.605	28.0278	38.2769	38.754	98.555	139.605	28.0278	38.2769	38.754	97.738	139.605	28.0278	38.2769	38.754	96.89	139.605	28.0278	38.2769	38.754	96.89	
BlowingBubbles	22	1515.5063	38.4715	41.3092	42.867	188.209	1515.5063	38.4715	41.3092	42.867	186.435	1515.5063	38.4715	41.3092	42.867	185.938	1515.5063	38.4715	41.3092	42.867	186.017	1515.5063	38.4715	41.3092	42.867	186.299	
BlowingBubbles	27	667.6375	34.917	38.8477	40.2362	153.143	667.6375	34.917	38.8477	40.2362	151.785	667.6375	34.917	38.8477	40.2362	151.867	667.6375	34.917	38.8477	40.2362	152.119	667.6375	34.917	38.8477	40.2362	151.914	
BlowingBubbles	32	301.1062	31.7618	36.8478	38.2474	128.576	301.1062	31.7618	36.8478	38.2474	127.377	301.1062	31.7618	36.8478	38.2474	127.664	301.1062	31.7618	36.8478	38.2474	127.489	301.1062	31.7618	36.8478	38.2474	127.235	
BlowingBubbles	37	142.2188	29.0577	35.4914	36.7406	111.536	142.2188	29.0577	35.4914	36.7406	110.606	142.2188	29.0577	35.4914	36.7406	110.323	142.2188	29.0577	35.4914	36.7406	110.314	142.2188	29.0577	35.4914	36.7406	110.359	
Traffic	22	14551.035	41.6306	41.4585	43.9221	7090.541	14551.035	41.6306	41.4585	43.9221	7059.425	14551.035	41.6306	41.4585	43.9221	7074.507	14551.035	41.6306	41.4585	43.9221	7062.639	14551.035	41.6306	41.4585	43.9221	7069.157	
Traffic	27	5229.2063	38.7686	39.4698	41.8576	5881.935	5229.2063	38.7686	39.4698	41.8576	5846.22	5229.2063	38.7686	39.4698	41.8576	5833.833	5229.2063	38.7686	39.4698	41.8576	5830.184	5229.2063	38.7686	39.4698	41.8576	5837.76	
Traffic	32	2292.2025	36.0175	37.999	40.3254	5229.628	2292.2025	36.0175	37.999	40.3254	5205.158	2292.2025	36.0175	37.999	40.3254	5210.425	2292.2025	36.0175	37.999	40.3254	5193.072	2292.2025	36.0175	37.999	40.3254	5211.327	
Traffic	37	1122.75	33.2498	36.9551	39.2729	4819.92	1122.75	33.2498	36.9551	39.2729	4821.699	1122.75	33.2498	36.9551	39.2729	4822.714	1122.75	33.2498	36.9551	39.2729	4816.509	1122.75	33.2498	36.9551	39.2729	4812.035	
