Params	Time Savings	BD-BR Inc	RDCCOst
BipredSearchRange=2_SearchRange=32	0.07	0.001	0.01
BipredSearchRange=2_SearchRange=32_TestRect=0.9	0.13	0.002	0.02
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.9	0.23	0.004	0.02
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.9	0.23	0.003	0.01
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.8	0.26	0.006	0.02
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.8	0.25	0.006	0.02
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.8	0.27	0.005	0.02
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.9	0.24	0.004	0.02
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.9	0.25	0.007	0.03
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.8	0.28	0.008	0.03
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.7	0.30	0.009	0.03
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.7	0.29	0.007	0.02
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.7	0.27	0.006	0.02
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.7	0.28	0.008	0.03
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.6	0.33	0.012	0.03
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.6	0.33	0.008	0.02
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.6	0.33	0.011	0.03
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.6	0.33	0.011	0.03
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.6	0.40	0.021	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.6	0.42	0.021	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.6	0.41	0.018	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.9	0.31	0.012	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.9	0.31	0.013	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.8	0.34	0.015	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.8	0.33	0.013	0.04
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.8	0.35	0.013	0.04
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.9	0.32	0.011	0.03
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.9	0.33	0.014	0.04
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.8	0.34	0.016	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.7	0.38	0.016	0.04
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.7	0.36	0.014	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.7	0.35	0.014	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.7	0.35	0.017	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.6	0.41	0.020	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.5	0.44	0.022	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.5	0.43	0.020	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=32_TestRect=0.5	0.43	0.022	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=0.5	0.43	0.021	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.5	0.51	0.033	0.06
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.5	0.50	0.030	0.06
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.5	0.47	0.030	0.06
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.9	0.36	0.015	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.9	0.37	0.017	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.8	0.39	0.019	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.8	0.39	0.017	0.04
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.8	0.40	0.019	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.9	0.38	0.017	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.9	0.39	0.018	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.8	0.41	0.020	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.7	0.43	0.022	0.05
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.7	0.43	0.021	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.7	0.42	0.018	0.04
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.7	0.42	0.022	0.05
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.6	0.45	0.027	0.06
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.6	0.46	0.028	0.06
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=32_TestRect=0.6	0.46	0.027	0.06
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=0.6	0.48	0.028	0.06
