POC	Control Active	SP	PV	GOP PV	AVG PV	PID	EST			e	Se	de
5	1	0.8	1.61214	0.403035	1.61214	0.8	0.806071			-0.812142	-0	-0
6	1	0.8	0.451898	0.51601	1.03202	0.8	1.01247			0.348102	-0	0
7	1	0.8	0.217233	0.570318	0.760424	0.8	1.16456			0.582767	0	0
8	1	0.8	0.234	0.628818	0.628818	0.8	1.29032			0.566	0	-0
9	1	0.8	0.415191	0.103798	0.586093	0.8	1.40754			0.384809	0	-0
10	1	0.8	0.197148	0.153085	0.521269	0.8	1.5118			0.602852	0	0
11	1	0.8	0.240102	0.21311	0.481102	0.8	1.60802			0.559898	0	-0
12	1	0.8	0.268469	0.280228	0.454523	0.8	1.69892			0.531531	0	-0
13	1	0.8	0.43015	0.107537	0.451815	0.8	1.78928			0.36985	0	-0
14	1	0.8	0.200202	0.157588	0.426653	0.8	1.87461			0.599798	0	0
15	1	0.8	0.241348	0.217925	0.409808	0.8	1.95658			0.558652	0	-0
16	1	0.8	0.245917	0.279404	0.39615	0.8	2.03581			0.554083	0	-0
17	1	0.8	0.422748	0.105687	0.398196	0.8	2.11545			0.377252	0	-0
18	1	0.8	0.196025	0.154693	0.383755	0.8	2.1922			0.603975	0	0
19	1	0.8	0.224185	0.210739	0.373117	0.8	2.26682			0.575815	0	-0
20	1	0.8	0.266665	0.277406	0.366464	0.8	2.34011			0.533335	0	-0
21	1	0.8	0.424702	0.106176	0.36989	0.8	2.41409			0.375298	0	-0
22	1	0.8	0.208872	0.158394	0.360944	0.8	2.48628			0.591128	0	0
23	1	0.8	0.224161	0.214434	0.353745	0.8	2.55703			0.575839	0	-0
24	1	0.8	0.283379	0.285279	0.350227	0.8	2.62707			0.516621	0	-0
25	1	0.8	0.43705	0.109262	0.354361	0.8	2.69795			0.36295	0	-0
26	1	0.8	0.206794	0.160961	0.347654	0.8	2.76748			0.593206	0	0
27	1	0.8	0.231949	0.218948	0.342623	0.8	2.836			0.568051	0	-0
28	1	0.8	0.285885	0.290419	0.340259	0.8	2.90405			0.514115	0	-0
29	1	0.8	0.436233	0.109058	0.344098	0.8	2.97287			0.363767	0	-0
